Title: The Spatial Structure of Young Stellar Clusters. I. Subclusters 
Authors: Kuhn M.A., Feigelson E.D., Getman K.V., Baddeley A.J., Broos P.S., 
         Sills A., Bate M.R., Povich M.S., Luhman K.L., Busk H.A., Naylor T., 
         King R.R. 
Table: Star Positions in the Statistical Sample
================================================================================
Byte-by-byte Description of file: stars_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   target       MYStIX region name
   9- 26 A18    ---   designation  MPCM source designation (1)
  28- 38 F11.7  deg   RAdeg        Right Ascension in decimal degrees (J2000)
  40- 50 F11.7  deg   DEdeg        Declination in decimal degrees (J2000)
--------------------------------------------------------------------------------
Note (1): MPCM are MYStIX Probable Complex Members, which are defined by 
          Broos et al. (2013).
--------------------------------------------------------------------------------
orion   053501.21-052144.4  83.7550812  -5.3623462
orion   053501.34-051821.3  83.7556152  -5.3059258
orion   053501.30-052016.9  83.7554398  -5.3380432
orion   053501.34-052022.2  83.7555847  -5.3395081
orion   053501.36-052811.5  83.7556686  -5.4698801
orion   053501.49-052820.4  83.7562485  -5.4723582
orion   053501.53-051807.9  83.7564011  -5.3021960
orion   053501.59-052534.0  83.7566605  -5.4261241
orion   053501.62-052149.0  83.7567825  -5.3636150
orion   053501.62-052410.2  83.7567673  -5.4028430
orion   053501.73-052512.6  83.7572250  -5.4201741
orion   053501.72-052709.9  83.7571869  -5.4527531
orion   053501.82-053019.3  83.7576218  -5.5053859
orion   053502.01-052055.1  83.7583771  -5.3486562
orion   053502.09-052636.2  83.7587204  -5.4433999
orion   053502.17-052909.8  83.7590637  -5.4860702
orion   053502.32-052123.3  83.7596817  -5.3564749
orion   053502.33-053110.2  83.7597122  -5.5195212
orion   053502.44-052046.5  83.7601929  -5.3462729
orion   053502.52-053309.6  83.7605209  -5.5526910
orion   053502.76-051944.7  83.7615356  -5.3290920
orion   053502.70-053224.6  83.7612915  -5.5401912
orion   053502.81-052202.4  83.7617188  -5.3673520
orion   053502.85-052208.2  83.7618866  -5.3689709
orion   053502.92-051551.9  83.7622070  -5.2644281
orion   053503.09-052237.7  83.7629089  -5.3771639
orion   053503.01-053001.4  83.7625427  -5.5003910
orion   053503.16-051829.8  83.7631912  -5.3082991
orion   053503.24-051753.3  83.7635345  -5.2981391
orion   053503.35-051622.7  83.7639847  -5.2729769
orion   053503.45-052332.8  83.7643814  -5.3924580
orion   053503.46-052610.1  83.7644196  -5.4361558
orion   053503.50-052046.7  83.7645950  -5.3463111
orion   053503.58-052925.6  83.7649460  -5.4904561
orion   053503.70-052245.6  83.7654572  -5.3793578
orion   053503.78-052454.5  83.7657776  -5.4151621
orion   053503.99-051859.8  83.7666397  -5.3166189
orion   053503.92-052903.3  83.7663727  -5.4842510
orion   053504.07-052637.1  83.7669830  -5.4436512
orion   053504.16-052015.7  83.7673569  -5.3377008
orion   053504.18-052224.3  83.7674255  -5.3734269
orion   053504.18-052232.0  83.7674408  -5.3755679
orion   053504.09-052234.9  83.7670822  -5.3763838
orion   053504.20-052012.2  83.7675095  -5.3367229
orion   053504.20-052627.9  83.7675247  -5.4410901
orion   053504.34-052313.1  83.7680893  -5.3869901
orion   053504.37-052313.8  83.7682266  -5.3871899
orion   053504.43-051951.1  83.7684784  -5.3308640
orion   053504.55-052013.7  83.7689972  -5.3371592
orion   053504.50-052356.5  83.7687912  -5.3990521
orion   053504.51-052604.4  83.7688065  -5.4345622
orion   053504.59-052623.2  83.7691574  -5.4397898
orion   053504.62-052442.4  83.7692642  -5.4117932
orion   053504.67-052936.2  83.7694931  -5.4933910
orion   053504.77-051742.1  83.7699051  -5.2950382
orion   053504.70-052435.9  83.7696152  -5.4099851
orion   053504.76-052638.0  83.7698669  -5.4438891
orion   053504.88-052057.3  83.7703552  -5.3492732
orion   053504.82-052238.8  83.7701035  -5.3774519
orion   053504.95-052109.3  83.7706375  -5.3525929
orion   053505.14-052024.6  83.7714310  -5.3401670
orion   053505.21-052603.3  83.7717438  -5.4342699
orion   053505.38-052410.5  83.7724457  -5.4029322
orion   053505.46-052230.5  83.7727585  -5.3751488
orion   053505.42-052415.1  83.7725906  -5.4042091
orion   053505.42-052522.4  83.7726135  -5.4229050
orion   053505.46-052555.8  83.7727814  -5.4321690
orion   053505.41-052717.0  83.7725601  -5.4547439
orion   053505.56-051921.3  83.7731934  -5.3226051
orion   053505.52-052751.9  83.7730255  -5.4644341
orion   053505.62-051824.7  83.7734528  -5.3068848
orion   053505.64-052519.5  83.7735291  -5.4220991
orion   053505.61-052922.3  83.7734146  -5.4895511
orion   053505.79-052315.8  83.7741547  -5.3877420
orion   053505.72-052354.1  83.7738647  -5.3983641
orion   053505.74-052418.5  83.7739182  -5.4051518
orion   053505.71-052504.1  83.7738037  -5.4178138
orion   053505.70-052506.4  83.7737579  -5.4184451
orion   053505.75-052626.1  83.7739639  -5.4406071
orion   053505.79-053355.6  83.7741470  -5.5654502
orion   053505.86-052701.6  83.7744217  -5.4504590
orion   053505.89-052708.9  83.7745819  -5.4524970
orion   053505.88-053418.4  83.7745285  -5.5717921
orion   053506.15-051955.3  83.7756424  -5.3320522
orion   053506.18-052212.4  83.7757721  -5.3701229
orion   053506.13-052306.2  83.7755814  -5.3850579
orion   053506.28-052202.6  83.7762070  -5.3674159
orion   053506.47-052118.5  83.7769852  -5.3551631
orion   053506.43-052704.8  83.7768097  -5.4513431
orion   053506.41-053335.9  83.7767334  -5.5599990
