Title: The Spatial Structure of Young Stellar Clusters. I. Subclusters 
Authors: Kuhn M.A., Feigelson E.D., Getman K.V., Baddeley A.J., Broos P.S., 
         Sills A., Bate M.R., Povich M.S., Luhman K.L., Busk H.A., Naylor T., 
         King R.R. 
Table: Star Positions in the Statistical Sample
================================================================================
Byte-by-byte Description of file: stars_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  7 A7     ---   target       MYStIX region name
   9- 26 A18    ---   designation  MPCM source designation (1)
  28- 38 F11.7  deg   RAdeg        Right Ascension in decimal degrees (J2000)
  40- 50 F11.7  deg   DEdeg        Declination in decimal degrees (J2000)
--------------------------------------------------------------------------------
Note (1): MPCM are MYStIX Probable Complex Members, which are defined by 
          Broos et al. (2013).
--------------------------------------------------------------------------------
ngc2264 064023.73+095523.8 100.0988890   9.9232960
ngc2264 064024.20+094600.4 100.1008600   9.7667830
ngc2264 064024.84+095311.5 100.1035100   9.8865330
ngc2264 064025.47+094826.0 100.1061400   9.8072310
ngc2264 064025.51+095432.3 100.1063200   9.9089860
ngc2264 064025.75+092923.2 100.1073000   9.4898030
ngc2264 064025.82+094627.0 100.1076160   9.7741930
ngc2264 064026.52+093522.0 100.1105000   9.5894470
ngc2264 064027.58+095051.6 100.1149440   9.8476890
ngc2264 064027.71+093159.6 100.1155000   9.5332300
ngc2264 064028.07+093533.7 100.1169740   9.5927050
ngc2264 064028.58+093547.6 100.1191090   9.5965680
ngc2264 064028.74+093059.5 100.1197700   9.5165470
ngc2264 064028.81+094824.3 100.1200800   9.8067560
ngc2264 064028.86+093305.5 100.1202550   9.5515370
ngc2264 064028.94+094217.1 100.1206140   9.7047620
ngc2264 064029.23+094407.5 100.1218300   9.7354190
ngc2264 064029.34+094519.0 100.1222700   9.7552950
ngc2264 064029.41+094736.9 100.1225500   9.7936000
ngc2264 064029.89+095010.4 100.1245450   9.8362310
ngc2264 064030.59+095014.9 100.1274950   9.8374880
ngc2264 064030.61+094610.6 100.1275810   9.7696250
ngc2264 064030.86+093440.5 100.1285840   9.5779390
ngc2264 064031.10+094931.9 100.1296000   9.8255500
ngc2264 064031.23+093107.1 100.1301300   9.5186390
ngc2264 064031.64+094823.3 100.1318440   9.8064940
ngc2264 064031.67+095330.4 100.1319900   9.8918000
ngc2264 064031.67+094959.3 100.1319800   9.8331470
ngc2264 064031.83+093600.6 100.1326320   9.6001750
ngc2264 064032.19+095722.1 100.1341400   9.9561630
ngc2264 064032.58+094933.2 100.1357900   9.8259000
ngc2264 064032.79+095129.2 100.1366630   9.8581380
ngc2264 064033.11+094954.7 100.1379900   9.8318690
ngc2264 064033.50+093458.5 100.1395950   9.5829420
ngc2264 064033.56+093336.3 100.1398540   9.5600920
ngc2264 064033.78+094843.8 100.1407720   9.8121940
ngc2264 064034.46+093518.2 100.1436100   9.5884060
ngc2264 064034.82+094545.3 100.1451100   9.7625860
ngc2264 064034.88+095407.1 100.1453700   9.9019940
ngc2264 064035.18+095156.7 100.1466040   9.8657590
ngc2264 064036.08+094736.2 100.1503450   9.7933980
ngc2264 064036.21+092804.2 100.1509000   9.4678500
ngc2264 064036.22+094001.6 100.1509200   9.6671140
ngc2264 064036.29+094309.7 100.1512167   9.7193694
ngc2264 064036.52+095045.6 100.1521680   9.8460090
ngc2264 064036.63+094822.9 100.1526360   9.8063850
ngc2264 064036.65+095203.2 100.1527450   9.8675640
ngc2264 064036.68+094722.4 100.1528740   9.7895700
ngc2264 064036.97+093909.8 100.1540500   9.6527240
ngc2264 064037.02+094728.5 100.1542720   9.7912590
ngc2264 064037.20+093109.8 100.1550100   9.5194025
ngc2264 064037.21+095310.3 100.1550500   9.8861970
ngc2264 064037.25+094729.7 100.1552290   9.7915980
ngc2264 064037.44+095521.5 100.1560380   9.9226520
ngc2264 064037.48+095457.9 100.1561830   9.9161010
ngc2264 064037.68+093939.7 100.1570050   9.6610500
ngc2264 064037.85+094950.9 100.1577300   9.8308190
ngc2264 064037.85+093556.7 100.1577150   9.5991050
ngc2264 064037.85+093454.2 100.1577500   9.5817500
ngc2264 064038.19+092952.4 100.1591640   9.4979140
ngc2264 064038.27+094715.9 100.1594850   9.7877690
ngc2264 064038.35+094716.0 100.1598280   9.7877880
ngc2264 064038.42+095745.4 100.1600950   9.9626380
ngc2264 064038.67+093656.9 100.1611600   9.6158170
ngc2264 064039.01+093559.9 100.1625730   9.5999760
ngc2264 064039.11+095058.6 100.1629850   9.8496160
ngc2264 064039.34+093445.5 100.1639330   9.5793240
ngc2264 064040.05+093503.0 100.1668780   9.5841810
ngc2264 064040.30+095050.6 100.1679490   9.8474150
ngc2264 064040.37+095102.4 100.1682380   9.8506910
ngc2264 064040.43+093134.7 100.1684700   9.5263220
ngc2264 064040.43+095102.4 100.1684790   9.8506870
ngc2264 064040.44+095050.4 100.1685010   9.8473410
ngc2264 064040.51+093501.1 100.1688300   9.5836440
ngc2264 064040.92+092759.5 100.1705100   9.4665410
ngc2264 064041.13+095256.5 100.1713900   9.8823720
ngc2264 064041.14+093357.8 100.1714200   9.5660610
ngc2264 064041.27+094946.3 100.1719800   9.8295310
ngc2264 064041.31+095102.3 100.1721590   9.8506640
ngc2264 064041.35+095413.8 100.1723170   9.9038520
ngc2264 064041.42+094809.7 100.1726100   9.8027030
ngc2264 064041.78+094952.3 100.1741230   9.8311980
ngc2264 064041.82+095146.3 100.1742670   9.8628870
ngc2264 064041.84+095144.5 100.1743560   9.8623650
ngc2264 064041.84+094138.6 100.1743400   9.6940580
ngc2264 064042.13+093141.8 100.1755700   9.5283020
ngc2264 064042.18+093337.6 100.1757560   9.5604510
ngc2264 064042.13+095448.1 100.1755750   9.9133630
ngc2264 064042.21+094011.0 100.1758840   9.6697460
ngc2264 064042.26+094607.9 100.1761000   9.7688670
ngc2264 064042.28+093921.2 100.1761890   9.6559060
ngc2264 064042.32+093425.1 100.1763530   9.5736570
ngc2264 064042.44+093220.6 100.1768570   9.5390580
ngc2264 064042.61+095347.6 100.1775740   9.8965780
ngc2264 064042.77+093334.9 100.1782500   9.5597200
ngc2264 064043.20+094707.3 100.1800380   9.7853680
ngc2264 064043.22+094601.7 100.1800910   9.7671490
ngc2264 064043.24+093114.8 100.1801750   9.5207990
ngc2264 064043.34+095059.5 100.1806230   9.8498700
ngc2264 064043.40+093034.2 100.1808500   9.5095080
ngc2264 064043.42+092840.9 100.1809540   9.4780420
ngc2264 064043.58+093720.4 100.1816000   9.6223550
ngc2264 064043.64+093511.3 100.1818400   9.5864970
ngc2264 064043.64+093835.6 100.1818700   9.6432330
ngc2264 064043.86+092855.1 100.1827900   9.4819970
ngc2264 064043.85+094830.6 100.1827380   9.8085220
ngc2264 064044.12+092355.3 100.1838570   9.3987120
ngc2264 064044.24+095339.3 100.1843400   9.8942690
ngc2264 064044.57+094812.5 100.1857310   9.8034930
ngc2264 064044.59+093226.2 100.1858050   9.5406350
ngc2264 064044.79+094947.8 100.1866620   9.8299670
ngc2264 064044.85+095744.2 100.1868800   9.9622930
ngc2264 064044.92+094909.3 100.1871700   9.8192570
ngc2264 064044.93+093849.7 100.1872250   9.6471440
ngc2264 064045.04+094541.8 100.1876730   9.7616350
ngc2264 064045.06+095127.6 100.1877900   9.8576840
ngc2264 064045.16+092844.4 100.1881830   9.4790070
ngc2264 064045.87+093844.3 100.1911540   9.6456600
ngc2264 064046.07+094917.3 100.1919850   9.8214970
ngc2264 064046.55+092140.9 100.1939850   9.3613615
ngc2264 064046.72+095424.6 100.1946920   9.9068550
ngc2264 064046.86+093230.9 100.1952790   9.5419390
ngc2264 064046.95+095240.5 100.1956500   9.8779190
ngc2264 064046.95+094848.0 100.1956500   9.8133530
ngc2264 064047.11+093240.1 100.1962950   9.5444990
ngc2264 064047.12+094207.6 100.1963400   9.7021360
ngc2264 064047.19+095309.3 100.1966430   9.8859350
ngc2264 064047.29+094727.5 100.1970500   9.7909950
ngc2264 064047.35+094849.4 100.1973060   9.8137480
ngc2264 064047.50+094929.0 100.1979230   9.8247360
ngc2264 064047.51+094926.1 100.1979820   9.8239430
ngc2264 064047.71+094210.7 100.1988000   9.7029860
ngc2264 064047.92+093303.1 100.1996930   9.5508670
ngc2264 064048.09+095339.4 100.2003990   9.8943000
ngc2264 064048.18+092700.8 100.2007900   9.4502310
ngc2264 064048.26+093638.6 100.2011210   9.6107330
ngc2264 064048.36+092412.4 100.2015230   9.4034590
ngc2264 064048.37+094838.5 100.2015810   9.8107120
ngc2264 064048.62+093557.4 100.2025860   9.5993030
ngc2264 064048.62+093252.4 100.2026040   9.5479090
ngc2264 064048.75+093242.6 100.2031420   9.5451730
ngc2264 064048.77+092156.5 100.2032150   9.3657130
ngc2264 064048.84+094325.6 100.2035050   9.7238010
ngc2264 064049.12+093736.3 100.2047000   9.6267570
ngc2264 064049.31+095851.4 100.2054900   9.9809550
ngc2264 064049.20+095738.7 100.2050400   9.9607580
ngc2264 064049.60+095217.3 100.2066700   9.8714840
ngc2264 064049.73+095258.6 100.2072470   9.8829600
ngc2264 064049.82+094730.9 100.2075900   9.7919380
ngc2264 064049.88+093649.3 100.2078720   9.6137130
ngc2264 064050.00+094454.5 100.2083700   9.7484865
ngc2264 064050.08+095227.4 100.2086710   9.8742990
ngc2264 064050.09+093039.9 100.2087390   9.5111060
ngc2264 064050.13+095703.9 100.2089000   9.9511110
ngc2264 064050.50+094545.4 100.2104340   9.7626190
ngc2264 064050.58+095457.3 100.2107780   9.9159430
ngc2264 064050.78+094155.3 100.2115860   9.6987030
ngc2264 064050.86+095239.8 100.2119500   9.8777260
ngc2264 064050.86+095553.1 100.2119340   9.9314430
ngc2264 064051.14+095037.9 100.2131040   9.8438690
ngc2264 064051.18+094446.1 100.2132900   9.7461530
ngc2264 064051.30+095328.8 100.2137610   9.8913350
ngc2264 064051.36+093013.3 100.2140200   9.5037080
ngc2264 064051.39+094557.7 100.2141300   9.7660530
ngc2264 064051.39+095324.3 100.2141430   9.8900990
ngc2264 064051.45+093714.4 100.2144110   9.6206680
ngc2264 064051.59+092844.5 100.2149590   9.4790330
ngc2264 064051.54+094324.2 100.2147560   9.7234000
ngc2264 064052.01+094504.8 100.2167240   9.7513440
ngc2264 064052.07+095213.8 100.2169990   9.8705070
ngc2264 064052.09+092913.8 100.2170810   9.4871880
ngc2264 064052.10+095214.5 100.2171120   9.8707020
ngc2264 064052.19+095643.2 100.2174760   9.9453580
ngc2264 064052.20+095231.1 100.2175060   9.8753220
ngc2264 064052.53+095058.5 100.2189110   9.8496040
ngc2264 064052.54+095206.1 100.2189360   9.8683670
ngc2264 064052.75+094300.4 100.2198200   9.7167830
ngc2264 064052.67+094421.0 100.2194860   9.7391720
ngc2264 064052.72+092843.7 100.2197000   9.4788190
ngc2264 064052.94+092625.7 100.2206200   9.4404750
ngc2264 064052.87+094857.2 100.2203300   9.8159000
ngc2264 064052.92+094454.4 100.2205060   9.7484470
ngc2264 064052.95+093515.4 100.2206270   9.5876240
ngc2264 064053.01+095259.5 100.2209160   9.8832140
ngc2264 064053.12+093010.4 100.2213500   9.5029000
ngc2264 064053.62+094704.3 100.2234260   9.7845310
ngc2264 064053.63+093324.7 100.2234920   9.5568840
ngc2264 064053.67+095800.0 100.2236300   9.9666910
ngc2264 064053.76+093038.9 100.2240160   9.5108170
ngc2264 064054.10+092951.1 100.2254380   9.4975360
ngc2264 064054.13+094843.4 100.2255550   9.8120670
ngc2264 064054.19+095551.9 100.2258100   9.9311110
ngc2264 064054.26+094920.3 100.2260940   9.8223230
ngc2264 064054.88+095312.3 100.2286800   9.8867610
ngc2264 064055.18+095049.7 100.2299190   9.8471650
ngc2264 064055.31+093007.8 100.2304700   9.5021700
ngc2264 064055.31+093959.0 100.2304840   9.6664130
ngc2264 064055.32+095216.1 100.2305400   9.8711420
ngc2264 064055.42+093723.5 100.2309260   9.6232190
ngc2264 064055.62+095212.5 100.2317660   9.8701420
ngc2264 064055.60+093824.8 100.2316800   9.6402390
ngc2264 064055.71+095113.9 100.2321590   9.8538630
ngc2264 064055.73+095707.6 100.2322160   9.9521330
ngc2264 064055.78+094018.3 100.2324290   9.6717640
ngc2264 064055.78+093606.0 100.2324450   9.6016700
ngc2264 064055.87+095130.5 100.2327940   9.8584730
ngc2264 064055.87+093717.7 100.2327990   9.6215930
ngc2264 064055.90+095353.3 100.2329430   9.8981600
ngc2264 064056.02+094414.5 100.2334490   9.7373790
ngc2264 064056.17+093630.9 100.2340480   9.6085910
ngc2264 064056.20+093222.9 100.2341840   9.5397220
ngc2264 064056.24+093932.6 100.2343400   9.6590830
ngc2264 064056.30+093418.0 100.2346100   9.5716810
ngc2264 064056.39+093553.3 100.2349820   9.5981430
ngc2264 064056.48+092953.8 100.2353500   9.4982890
ngc2264 064056.50+095410.4 100.2354290   9.9029150
ngc2264 064056.72+093747.6 100.2363600   9.6299130
ngc2264 064056.77+093014.9 100.2365470   9.5041610
ngc2264 064056.79+093749.1 100.2366570   9.6303080
ngc2264 064056.81+094843.8 100.2367250   9.8121920
ngc2264 064056.83+095156.5 100.2368240   9.8657110
ngc2264 064056.94+094840.7 100.2372830   9.8113090
ngc2264 064056.99+093301.3 100.2374700   9.5503770
ngc2264 064057.19+095825.9 100.2382980   9.9738870
ngc2264 064057.44+092617.0 100.2393500   9.4380590
ngc2264 064057.45+092923.4 100.2393960   9.4898350
ngc2264 064057.49+094920.8 100.2395700   9.8224470
ngc2264 064057.57+095812.7 100.2399100   9.9702000
ngc2264 064057.66+093150.1 100.2402550   9.5305970
ngc2264 064057.67+093608.0 100.2403090   9.6022500
ngc2264 064057.76+093050.4 100.2406740   9.5140130
ngc2264 064057.83+094120.1 100.2409960   9.6889430
ngc2264 064057.83+095629.9 100.2409640   9.9416400
ngc2264 064057.84+095108.9 100.2410180   9.8524870
ngc2264 064057.97+093639.3 100.2415540   9.6109390
ngc2264 064058.00+095359.2 100.2417030   9.8998030
ngc2264 064058.00+093614.5 100.2416840   9.6040510
ngc2264 064058.09+095113.6 100.2420530   9.8537960
ngc2264 064058.09+093653.3 100.2420790   9.6148320
ngc2264 064058.14+095235.4 100.2422500   9.8765030
ngc2264 064058.19+095544.5 100.2424700   9.9290480
ngc2264 064058.33+093756.7 100.2430500   9.6324310
ngc2264 064058.39+092725.0 100.2433200   9.4569690
ngc2264 064058.42+093744.4 100.2434540   9.6290140
ngc2264 064058.43+093452.4 100.2434700   9.5812470
ngc2264 064058.51+093331.7 100.2437930   9.5588180
ngc2264 064058.62+094554.5 100.2442860   9.7651590
ngc2264 064058.61+093639.3 100.2442250   9.6109230
ngc2264 064058.66+095344.7 100.2444210   9.8957760
ngc2264 064058.66+093613.1 100.2444320   9.6036590
ngc2264 064058.67+095253.4 100.2444840   9.8815190
ngc2264 064058.69+095416.1 100.2445700   9.9044970
ngc2264 064058.78+095346.1 100.2449540   9.8961520
ngc2264 064058.78+095353.2 100.2449200   9.8981300
ngc2264 064058.81+093057.1 100.2450820   9.5158780
ngc2264 064058.82+093918.8 100.2451070   9.6552350
ngc2264 064058.86+094225.5 100.2452800   9.7071085
ngc2264 064058.86+093646.2 100.2452630   9.6128380
ngc2264 064058.86+093057.6 100.2452670   9.5160190
ngc2264 064058.86+095401.8 100.2452740   9.9005270
ngc2264 064058.91+092852.8 100.2454950   9.4813370
ngc2264 064058.93+095400.8 100.2455790   9.9002380
ngc2264 064059.04+093301.8 100.2460400   9.5505030
ngc2264 064059.04+093322.2 100.2460400   9.5561695
ngc2264 064059.15+095307.4 100.2464990   9.8854020
ngc2264 064059.18+095414.4 100.2466200   9.9040270
ngc2264 064059.21+095307.9 100.2467470   9.8855480
ngc2264 064059.22+093150.2 100.2467900   9.5306330
ngc2264 064059.26+093325.0 100.2469490   9.5569570
ngc2264 064059.29+093552.3 100.2470830   9.5978660
ngc2264 064059.32+094616.5 100.2471710   9.7712730
ngc2264 064059.33+093556.9 100.2472260   9.5991540
ngc2264 064059.35+095520.3 100.2473040   9.9223150
ngc2264 064059.36+093333.3 100.2473450   9.5592680
ngc2264 064059.39+093059.6 100.2474900   9.5165560
ngc2264 064059.49+092951.6 100.2478940   9.4976890
ngc2264 064059.52+093610.4 100.2480040   9.6029000
ngc2264 064059.54+093510.9 100.2481010   9.5863660
ngc2264 064059.54+093906.3 100.2480900   9.6517610
ngc2264 064059.62+093657.5 100.2484300   9.6159810
ngc2264 064059.68+092843.8 100.2486750   9.4788340
ngc2264 064059.74+095406.3 100.2489410   9.9017540
ngc2264 064059.75+093559.1 100.2489700   9.5997715
ngc2264 064059.82+095148.9 100.2492810   9.8636020
ngc2264 064059.90+094704.5 100.2495960   9.7845900
ngc2264 064059.97+093500.8 100.2499000   9.5835770
ngc2264 064059.99+092850.2 100.2499720   9.4806200
ngc2264 064100.03+095217.8 100.2501330   9.8716370
ngc2264 064100.24+093631.1 100.2510150   9.6086420
ngc2264 064100.25+095214.9 100.2510480   9.8708320
ngc2264 064100.25+095849.6 100.2510550   9.9804560
ngc2264 064100.28+093558.9 100.2512000   9.5997080
ngc2264 064100.34+095353.2 100.2514500   9.8981190
ngc2264 064100.39+094115.3 100.2516500   9.6875860
ngc2264 064100.43+095403.5 100.2518180   9.9009840
ngc2264 064100.50+094503.1 100.2520890   9.7508780
ngc2264 064100.51+092916.0 100.2521330   9.4878010
ngc2264 064100.54+093612.2 100.2522560   9.6033950
ngc2264 064100.64+093610.0 100.2526780   9.6028000
ngc2264 064100.68+092411.7 100.2528380   9.4032650
ngc2264 064100.65+095123.4 100.2527280   9.8565050
ngc2264 064100.77+095122.3 100.2532200   9.8562220
ngc2264 064100.80+095207.5 100.2533650   9.8687510
ngc2264 064100.81+093014.2 100.2533900   9.5039620
ngc2264 064100.98+093244.5 100.2540940   9.5457110
ngc2264 064101.10+093452.3 100.2546200   9.5811950
ngc2264 064101.22+093609.3 100.2550890   9.6026030
ngc2264 064101.33+093452.6 100.2555540   9.5812920
ngc2264 064101.41+093408.2 100.2558990   9.5689490
ngc2264 064101.57+092841.1 100.2565460   9.4781060
ngc2264 064101.56+092813.2 100.2565150   9.4703600
ngc2264 064101.67+094822.5 100.2569710   9.8062590
ngc2264 064101.67+094819.7 100.2569930   9.8054960
ngc2264 064101.72+094821.4 100.2571890   9.8059480
ngc2264 064101.72+095551.4 100.2572070   9.9309480
ngc2264 064101.73+093300.2 100.2572390   9.5500700
ngc2264 064101.81+093840.8 100.2575660   9.6446870
ngc2264 064101.82+093434.1 100.2576100   9.5761590
ngc2264 064101.88+095247.9 100.2578360   9.8799990
ngc2264 064101.90+095239.3 100.2579400   9.8775860
ngc2264 064101.94+095003.7 100.2580950   9.8343740
ngc2264 064102.01+093833.3 100.2583900   9.6425910
ngc2264 064102.06+095250.9 100.2585930   9.8808190
ngc2264 064102.20+095152.0 100.2591700   9.8644590
ngc2264 064102.29+092723.9 100.2595610   9.4566590
ngc2264 064102.35+092118.3 100.2598000   9.3551080
ngc2264 064102.45+095224.9 100.2602140   9.8736110
ngc2264 064102.54+093455.8 100.2605850   9.5821710
ngc2264 064102.58+093640.1 100.2607900   9.6111510
ngc2264 064102.58+093615.4 100.2607650   9.6042880
ngc2264 064102.58+093513.0 100.2607670   9.5869710
ngc2264 064102.60+095102.5 100.2608700   9.8507060
ngc2264 064102.60+093512.4 100.2608700   9.5867910
ngc2264 064102.70+092318.7 100.2612900   9.3885530
ngc2264 064102.78+092315.1 100.2616100   9.3875490
ngc2264 064102.79+093616.0 100.2616620   9.6044690
ngc2264 064102.81+093534.3 100.2617340   9.5928640
ngc2264 064102.86+095352.7 100.2619300   9.8979780
ngc2264 064102.88+092723.4 100.2620220   9.4565250
ngc2264 064102.90+095336.0 100.2621000   9.8933360
ngc2264 064102.95+094754.3 100.2623310   9.7984220
ngc2264 064103.03+093735.7 100.2626570   9.6266030
ngc2264 064103.08+092904.5 100.2628500   9.4846030
ngc2264 064103.13+093544.9 100.2630640   9.5958240
ngc2264 064103.18+092603.0 100.2632590   9.4341880
ngc2264 064103.20+093545.0 100.2633450   9.5958590
ngc2264 064103.20+093255.0 100.2633460   9.5486310
ngc2264 064103.28+095754.9 100.2636670   9.9652720
ngc2264 064103.38+094044.8 100.2640970   9.6791200
ngc2264 064103.37+093604.7 100.2640620   9.6013230
ngc2264 064103.41+093005.1 100.2642360   9.5014420
ngc2264 064103.45+093211.8 100.2643810   9.5366250
ngc2264 064103.49+093118.4 100.2645720   9.5218020
ngc2264 064103.60+093029.1 100.2650020   9.5081020
ngc2264 064103.61+093604.4 100.2650780   9.6012460
ngc2264 064103.64+093543.7 100.2651700   9.5955000
ngc2264 064103.72+092724.4 100.2655000   9.4567920
ngc2264 064103.74+092739.8 100.2656020   9.4610830
ngc2264 064103.93+093711.0 100.2663950   9.6197470
ngc2264 064103.93+095809.4 100.2664030   9.9692940
ngc2264 064104.00+093538.3 100.2667000   9.5939800
ngc2264 064104.00+092824.4 100.2666940   9.4734460
ngc2264 064104.03+094908.8 100.2668060   9.8191370
ngc2264 064104.05+093348.7 100.2669090   9.5635340
ngc2264 064104.06+093521.0 100.2669210   9.5891940
ngc2264 064104.17+093457.1 100.2673840   9.5825430
ngc2264 064104.17+095201.9 100.2674140   9.8672050
ngc2264 064104.19+092840.5 100.2674800   9.4779360
ngc2264 064104.29+092452.1 100.2678880   9.4144890
ngc2264 064104.29+093533.2 100.2678900   9.5925780
ngc2264 064104.31+093547.6 100.2679730   9.5965770
ngc2264 064104.33+094822.0 100.2680570   9.8061320
ngc2264 064104.36+092730.7 100.2681800   9.4585280
ngc2264 064104.39+095124.8 100.2683130   9.8568950
ngc2264 064104.40+095150.0 100.2683600   9.8639160
ngc2264 064104.43+093643.3 100.2684900   9.6120340
ngc2264 064104.44+095126.0 100.2685210   9.8572480
ngc2264 064104.47+095318.2 100.2686300   9.8884020
ngc2264 064104.50+093013.5 100.2687700   9.5037640
ngc2264 064104.48+095212.6 100.2687000   9.8701670
ngc2264 064104.56+093830.8 100.2690300   9.6418940
ngc2264 064104.55+092518.3 100.2689810   9.4217610
ngc2264 064104.54+092609.3 100.2689310   9.4359260
ngc2264 064104.56+095443.8 100.2690300   9.9121910
ngc2264 064104.61+093618.1 100.2692340   9.6050350
ngc2264 064104.71+093626.7 100.2696250   9.6074280
ngc2264 064104.75+093626.1 100.2698280   9.6072640
ngc2264 064104.97+095046.0 100.2707100   9.8461350
ngc2264 064105.05+093300.3 100.2710630   9.5501080
ngc2264 064105.06+094922.7 100.2711100   9.8229970
ngc2264 064105.09+095144.6 100.2712200   9.8624140
ngc2264 064105.09+094847.9 100.2712400   9.8133210
ngc2264 064105.13+094855.5 100.2713900   9.8154190
ngc2264 064105.15+093620.0 100.2714780   9.6055670
ngc2264 064105.21+093636.4 100.2717400   9.6101140
ngc2264 064105.21+095315.7 100.2717200   9.8877190
ngc2264 064105.35+093312.6 100.2723280   9.5535220
ngc2264 064105.36+093313.5 100.2723370   9.5537670
ngc2264 064105.37+093630.6 100.2724090   9.6085250
ngc2264 064105.37+093409.4 100.2724100   9.5693010
ngc2264 064105.54+093140.6 100.2731110   9.5279480
ngc2264 064105.61+093355.0 100.2734000   9.5652780
ngc2264 064105.60+093544.4 100.2733480   9.5956850
ngc2264 064105.68+095418.7 100.2736840   9.9052020
ngc2264 064105.72+094907.1 100.2738400   9.8186420
ngc2264 064105.74+093101.3 100.2739310   9.5170410
ngc2264 064105.75+093631.9 100.2739790   9.6088740
ngc2264 064105.77+093529.5 100.2740730   9.5915280
ngc2264 064105.77+094817.4 100.2740730   9.8048570
ngc2264 064105.79+093107.4 100.2741580   9.5187340
ngc2264 064105.81+095247.8 100.2742150   9.8799630
ngc2264 064105.87+093446.0 100.2744920   9.5794450
ngc2264 064105.90+093445.3 100.2746080   9.5792500
ngc2264 064105.93+092717.4 100.2747360   9.4548460
ngc2264 064105.97+093139.8 100.2748920   9.5277490
ngc2264 064106.05+093446.2 100.2752440   9.5795040
ngc2264 064106.19+093408.6 100.2758292   9.5690805
ngc2264 064106.19+093622.9 100.2758170   9.6063730
ngc2264 064106.22+093308.9 100.2759560   9.5524900
ngc2264 064106.22+092503.6 100.2759550   9.4176880
ngc2264 064106.26+092940.4 100.2761190   9.4945720
ngc2264 064106.31+092930.9 100.2763290   9.4919200
ngc2264 064106.42+092838.9 100.2767860   9.4774930
ngc2264 064106.43+092658.6 100.2767950   9.4496320
ngc2264 064106.41+095410.6 100.2767300   9.9029460
ngc2264 064106.43+093409.9 100.2768200   9.5694275
ngc2264 064106.46+093605.3 100.2769420   9.6014880
ngc2264 064106.65+093357.6 100.2777100   9.5660140
ngc2264 064106.72+094727.6 100.2780300   9.7910030
ngc2264 064106.73+093445.9 100.2780510   9.5794390
ngc2264 064106.77+093334.9 100.2782333   9.5597028
ngc2264 064106.95+094054.3 100.2789958   9.6817750
ngc2264 064106.82+092732.2 100.2784580   9.4589640
ngc2264 064106.88+092321.3 100.2786910   9.3892710
ngc2264 064106.90+092924.0 100.2787630   9.4900220
ngc2264 064107.05+093037.9 100.2793820   9.5105320
ngc2264 064107.10+092747.7 100.2796190   9.4632660
ngc2264 064107.11+092748.6 100.2796400   9.4635050
ngc2264 064107.12+092728.9 100.2796990   9.4580280
ngc2264 064107.15+092748.1 100.2798220   9.4633700
ngc2264 064107.14+092554.6 100.2797900   9.4318530
ngc2264 064107.16+093036.4 100.2798400   9.5101220
ngc2264 064107.21+094225.5 100.2800450   9.7071060
ngc2264 064107.26+095831.1 100.2802680   9.9753230
ngc2264 064107.29+093118.1 100.2803910   9.5217050
ngc2264 064107.32+094932.7 100.2805290   9.8257530
ngc2264 064107.33+092554.9 100.2805740   9.4319250
ngc2264 064107.39+093454.9 100.2808150   9.5819200
ngc2264 064107.40+092554.3 100.2808630   9.4317610
ngc2264 064107.40+093110.9 100.2808750   9.5197180
ngc2264 064107.47+093336.9 100.2811660   9.5602590
ngc2264 064107.44+093433.5 100.2810000   9.5759890
ngc2264 064107.59+093000.5 100.2816600   9.5001540
ngc2264 064107.65+093419.2 100.2819150   9.5720060
ngc2264 064107.76+094114.9 100.2823460   9.6874840
ngc2264 064107.74+092913.6 100.2822600   9.4871250
ngc2264 064107.76+092813.5 100.2823510   9.4704280
ngc2264 064107.77+094403.0 100.2824000   9.7341760
ngc2264 064107.98+093446.8 100.2832600   9.5796890
ngc2264 064108.01+093040.3 100.2833800   9.5112040
ngc2264 064108.17+093007.8 100.2840640   9.5021800
ngc2264 064108.19+093656.0 100.2841320   9.6155690
ngc2264 064108.21+093409.4 100.2842260   9.5693010
ngc2264 064108.20+093830.3 100.2841920   9.6417730
ngc2264 064108.27+093022.8 100.2844600   9.5063450
ngc2264 064108.31+092939.5 100.2846350   9.4943170
ngc2264 064108.37+094036.1 100.2849000   9.6767110
ngc2264 064108.43+093752.4 100.2851600   9.6312450
ngc2264 064108.54+093413.2 100.2855860   9.5703480
ngc2264 064108.56+093105.8 100.2857000   9.5182940
ngc2264 064108.56+094251.5 100.2856700   9.7143220
ngc2264 064108.59+092933.7 100.2858120   9.4927090
ngc2264 064108.85+095301.0 100.2868960   9.8836310
ngc2264 064108.83+092343.0 100.2868180   9.3952950
ngc2264 064108.91+094114.7 100.2871560   9.6874420
ngc2264 064108.96+093346.0 100.2873400   9.5627830
ngc2264 064108.86+094601.0 100.2869360   9.7669580
ngc2264 064109.03+092907.1 100.2876630   9.4853240
ngc2264 064109.08+093009.0 100.2878650   9.5025220
ngc2264 064109.19+095301.4 100.2883300   9.8837250
ngc2264 064109.26+092756.8 100.2886000   9.4657950
ngc2264 064109.34+095608.1 100.2889270   9.9355940
ngc2264 064109.48+095150.0 100.2895280   9.8639050
ngc2264 064109.51+093525.4 100.2896430   9.5904140
ngc2264 064109.52+092936.9 100.2896940   9.4936100
